Type,Name,Price,PriceDiff,Tag,Request_Processor,Request_Memory,Comment_All,Comment_Positive,Comment_Negative,TagMode,TagStyle,TagPerson,TagDimension,TagNumPlayer
game,Baldur's Gate 3,1439,160,"RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Combat, Controller, Stealth, ",Intermediate,normal,509432,492846,16586,RPG,"Adventure, Strategy",,,"Multiplayer, Singleplayer"
game,Monster Hunter: World,303,617,"Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG, ",Intermediate,normal,405320,352025,53295,RPG,"Co-op, Action, Adventure",Third Person,,"Multiplayer, Singleplayer"
game,ELDEN RING,1074,716,"Souls-like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly, ",Intermediate,high,741832,685180,56652,RPG,"Action, Co-op",Third Person,3D,"Multiplayer, Singleplayer"
game,Cyberpunk 2077,799,800,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim, ",Advanced,high,695757,562322,133435,RPG,"Action, Adventure",,,Singleplayer
bundle,Monster Hunter World: Iceborne Master Edition,607,1233,Action,Beginner,low,0,0,0,,Action,,,
game,Hogwarts Legacy,845,845,"Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action-Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly, ",Intermediate,high,244453,224578,19875,RPG,"Adventure, Action",Third Person,,Singleplayer
game,Monster Hunter World: Iceborne,455,775,"Action, Multiplayer, Co-op, Open World, Hunting, Difficult, Third Person, Singleplayer, Adventure, Online Co-Op, RPG, Character Customization, Exploration, Dragons, Hack and Slash, Story Rich, JRPG, PvE, Souls-like, MMORPG, ",Intermediate,normal,20758,11839,8919,RPG,"Action, Co-op, Adventure",Third Person,,"Multiplayer, Singleplayer"
game,Peeping Dorm Manager,224,25,"Sexual Content, Hentai, Nudity, Mature, NSFW, RPG, Pixel Graphics, Puzzle, Crime, Point & Click, Singleplayer, Clicker, Cute, Anime, FMV, Female Protagonist, JRPG, Dating Sim, Simulation, Strategy, ",Beginner,low,1327,1286,41,"RPG, Simulation",Strategy,,,Singleplayer
game,Lethal Company,188,0,"Online Co-Op, Horror, First-Person, Psychological Horror, Co-op, Exploration, Survival Horror, PvE, Sci-fi, Procedural Generation, Atmospheric, Time Management, Aliens, Dungeon Crawler, Action, Adventure, Action-Adventure, Perma Death, Realistic, Early Access, ",Intermediate,low,207059,203335,3724,,"Co-op, Action, Adventure",,,
game,NARAKA: BLADEPOINT,0,0,"Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Massively Multiplayer, Third Person, Survival, Character Customization, Fighting, Hack and Slash, Swordplay, Parkour, Anime, Adventure, Mature, Violent, Free to Play, Gore, ",Intermediate,low,233114,158558,74556,Battle Royale,"Action, Survival, Adventure",Third Person,,Multiplayer
game,Party Animals,293,126,"Casual, Funny, Multiplayer, Cute, Party Game, Action, Fighting, PvP, Co-op, Party, Family Friendly, Online Co-Op, Physics, 3D Fighter, Local Multiplayer, 4 Player Local, Indie, Team-Based, Local Co-Op, Action-Adventure, ",Intermediate,normal,35758,26134,9624,Party Game,"Action, Co-op",,,Multiplayer
game,The Arrogant Kaiju Princess and The Detective Servant,287,32,"Sexual Content, Nudity, Hentai, Mature, NSFW, Casual, Anime, JRPG, RPG, Story Rich, Turn-Based Strategy, Romance, Indie, Turn-Based Tactics, Singleplayer, Fantasy, ",Beginner,low,454,446,8,RPG,,,,Singleplayer
bundle,《電馭叛客 2077：終極版》,1360,1038,角色扮演,Beginner,low,0,0,0,,,,,
game,Cyberpunk 2077: Phantom Liberty,679,120,"RPG, Sexual Content, Cyberpunk, Open World, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First-Person, FPS, Action, Action RPG, Character Customization, Choices Matter, Shooter, Horror, Stealth, Great Soundtrack, ",Advanced,high,12557,11264,1293,RPG,Action,,,Singleplayer
game,Persona 5 Royal,895,895,"JRPG, Story Rich, Anime, Great Soundtrack, Turn-Based Combat, RPG, Party-Based RPG, Singleplayer, Dating Sim, Turn-Based Strategy, Multiple Endings, Emotional, Visual Novel, Colorful, Sexual Content, Adventure, Heist, Soundtrack, Detective, Violent, ",Advanced,normal,50101,48709,1392,RPG,Adventure,,,Singleplayer
game,DAVE THE DIVER,280,70,"Pixel Graphics, Casual, Adventure, RPG, Management, Relaxing, Simulation, Fishing, Exploration, Underwater, Farming Sim, Singleplayer, Crafting, 2D, Story Rich, Roguelite, Funny, Agriculture, Early Access, Action, ",Beginner,normal,81917,79925,1992,"RPG, Simulation","Adventure, Action",,2D,Singleplayer
game,Forza Horizon 5,844,844,"Racing, Open World, Driving, Multiplayer, Automobile Sim, Realistic, Adventure, Simulation, Exploration, Arcade, First-Person, Atmospheric, Sports, Co-op, PvP, Online Co-Op, Singleplayer, Beautiful, Action, Third Person, ",Intermediate,normal,154210,135868,18342,Simulation,"Adventure, Co-op, Action",Third Person,,"Multiplayer, Singleplayer"
game,Conqueror's Blade,0,0,"PvP, Medieval, Massively Multiplayer, Action, Strategy, Sandbox, MMORPG, Alternate History, Character Customization, Free to Play, War, Wargame, RPG, Swordplay, Open World, Tactical, RTS, Third Person, Team-Based, Action RPG, ",Intermediate,normal,29074,20105,8969,"RPG, RTS","Action, Strategy",Third Person,,
bundle,Grand Theft Auto V: Premium Edition,482,817,"Action, Adventure",Beginner,low,0,0,0,,"Action, Adventure",,,
game,Fallen Shinobi,287,32,"Sexual Content, Hentai, Nudity, Simulation, Anime, Mature, NSFW, 2D, Dating Sim, Singleplayer, Multiple Endings, Interactive Fiction, Fantasy, Time Management, ",Beginner,normal,212,191,21,Simulation,,,2D,Singleplayer
game,Resident Evil 4,840,840,"Action, Horror, Survival Horror, Third-Person Shooter, Zombies, Singleplayer, Survival, Story Rich, Cinematic, Dark, Realistic, Resource Management, Remake, Gore, 3D, Adventure, Psychological Horror, Third Person, Action-Adventure, Violent, ",Intermediate,normal,117842,115305,2537,,"Action, Survival, Adventure",Third Person,3D,Singleplayer
game,Counter-Strike 2,285,2507,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable, ",Intermediate,normal,7803697,6841155,962542,,"Action, Co-op, Strategy",,,Multiplayer
game,Grand Theft Auto V,482,817,"Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable, ",Beginner,low,1705260,1473529,231731,,"Action, Adventure, Co-op",Third Person,,"Multiplayer, Singleplayer"
game,PUBG: BATTLEGROUNDS,0,0,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth, ",Intermediate,normal,2272221,1313919,958302,"Battle Royale, Simulation","Survival, Action, Co-op, Strategy",Third Person,,Multiplayer
game,Red Dead Redemption 2,590,1200,"Open World, Story Rich, Western, Adventure, Multiplayer, Action, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Mature, Third-Person Shooter, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS, ",Advanced,high,506659,461488,45171,,"Adventure, Action",Third Person,,"Multiplayer, Singleplayer"
game,MONSTER HUNTER RISE,448,672,"Action, RPG, Online Co-Op, Hunting, Multiplayer, Character Customization, Action RPG, Co-op, JRPG, Third Person, Singleplayer, PvE, Fantasy, Anime, 3D, Nature, Dragons, Atmospheric, Ninja, Story Rich, ",Intermediate,normal,83743,72544,11199,RPG,"Action, Co-op",Third Person,3D,"Multiplayer, Singleplayer"
game,Remnant II,660,440,"Souls-like, Action, Adventure, RPG, Co-op, Third-Person Shooter, Dark, Shooter, Action-Adventure, Post-apocalyptic, Combat, Third Person, Multiplayer, Horror, Online Co-Op, Atmospheric, PvE, Controller, Singleplayer, Gore, ",Intermediate,high,43601,36938,6663,RPG,"Action, Adventure, Co-op",Third Person,,"Multiplayer, Singleplayer"
game,Sekiro™: Shadows Die Twice - GOTY Edition,795,795,"Souls-like, Difficult, Action, Singleplayer, Ninja, Stealth, Adventure, Third Person, Open World, Story Rich, Violent, Atmospheric, Assassin, Dark Fantasy, Hack and Slash, RPG, Great Soundtrack, Gore, Dark, Rhythm, ",Beginner,low,259734,247628,12106,RPG,"Action, Adventure",Third Person,,Singleplayer
game,It Takes Two,274,825,"Co-op, Multiplayer, Split Screen, Local Co-Op, Puzzle, Online Co-Op, Adventure, Story Rich, Local Multiplayer, Co-op Campaign, Puzzle Platformer, 3D Platformer, Action-Adventure, Platformer, Emotional, Action, Exploration, Atmospheric, Minigames, Female Protagonist, ",Beginner,normal,145616,138712,6904,,"Co-op, Adventure, Action",,,Multiplayer
game,Age of Empires II: Definitive Edition,169,510,"Strategy, RTS, City Builder, Multiplayer, Base Building, Historical, Singleplayer, Medieval, Resource Management, Classic, Tactical, Real-Time, Co-op, Remake, Isometric, Replay Value, 2D, Action, Adventure, Great Soundtrack, ",Beginner,low,135968,128968,7000,RTS,"Strategy, Co-op, Action, Adventure",,2D,"Multiplayer, Singleplayer"
bundle,Monster Hunter World: Iceborne Master Edition Digital Deluxe,762,1388,Action,Beginner,low,0,0,0,,Action,,,
game,God of War,595,595,"Action, Singleplayer, Story Rich, Adventure, Mythology, Third Person, Combat, RPG, Violent, Hack and Slash, Fantasy, Open World, Exploration, Atmospheric, Gore, Emotional, Action RPG, Souls-like, 3D, PvE, ",Intermediate,normal,116601,112878,3723,RPG,"Action, Adventure",Third Person,3D,Singleplayer
game,NBA 2K24,626,1164,"Sports, Simulation, Basketball, eSports, 3D, Immersive Sim, Realistic, Management, PvP, Character Customization, Controller, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Gambling, Singleplayer, ",Beginner,normal,14823,2591,12232,Simulation,Co-op,,3D,"Multiplayer, Singleplayer"
game,Street Fighter™ 6,1108,572,"2D Fighter, Fighting, Action, Character Customization, Arcade, Adventure, Multiplayer, Competitive, PvP, Open World, eSports, Singleplayer, Action RPG, Local Multiplayer, Controller, 3D, Sandbox, Great Soundtrack, 3D Fighter, Martial Arts, ",Intermediate,normal,32082,28264,3818,,"Action, Adventure",,3D,"Multiplayer, Singleplayer"
game,Call of Duty®,1553,666,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person, ",Intermediate,normal,500512,290344,210168,,"Action, Co-op",Third Person,,"Multiplayer, Singleplayer"
game,Age of Empires IV: Anniversary Edition,544,544,"Strategy, RTS, War, Multiplayer, Base Building, Singleplayer, Medieval, Resource Management, Historical, City Builder, Action RTS, PvP, PvE, Co-op, 3D, Isometric, Management, Open World, Online Co-Op, Mature, ",Intermediate,normal,61329,53197,8132,RTS,"Strategy, Co-op",,3D,"Multiplayer, Singleplayer"
game,THE FINALS,0,0,"Multiplayer, Shooter, Destruction, FPS, PvP, Free to Play, First-Person, Team-Based, Action, Character Customization, Tactical, Capitalism, Choices Matter, Class-Based, Combat, Realistic, Loot, Gun Customization, Crafting, Battle Royale, ",Intermediate,high,86243,63799,22444,Battle Royale,Action,,,Multiplayer
game,Fate/Samurai Remnant,1492,498,"JRPG, Anime, RPG, Action RPG, Action, Spectacle fighter, Story Rich, Historical, Magic, Drama, Multiple Endings, Singleplayer, Stylized, Musou, Hack and Slash, Visual Novel, Violent, Gore, Fantasy, Cute, ",Intermediate,normal,3478,3223,255,RPG,Action,,,Singleplayer
game,World War Z,395,395,"Zombies, Multiplayer, Online Co-Op, Action, Co-op, Singleplayer, Shooter, Third-Person Shooter, FPS, PvE, Survival Horror, Gun Customization, Character Customization, Post-apocalyptic, Gore, First-Person, Violent, Combat, Third Person, Class-Based, ",Beginner,normal,17674,14820,2854,,"Action, Co-op",Third Person,,"Multiplayer, Singleplayer"
game,Summer Memories,79,239,"Sexual Content, Nudity, Mature, Hentai, Pixel Graphics, Anime, RPG, Simulation, FPS, Multiple Endings, Visual Novel, Singleplayer, Time Management, 2D, JRPG, Adventure, RPGMaker, Indie, Funny, Memes, ",Beginner,low,13025,12136,889,"RPG, Simulation",Adventure,,2D,Singleplayer
bundle,Monster Hunter Rise + Sunbreak,925,925,Action,Beginner,low,0,0,0,,Action,,,
game,Warframe,0,0,"Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, Singleplayer, PvE, Sci-fi, Lore-Rich, Space, Shooter, Hack and Slash, Ninja, Parkour, ",Advanced,low,560630,485371,75259,RPG,"Action, Co-op",Third Person,,Singleplayer
