Type,Name,Price,PriceDiff,Tag,Request_Processor,Request_Memory,Comment_All,Comment_Positive,Comment_Negative,TagMode,TagStyle,TagPerson,TagDimension,TagNumPlayer
game,Monster Hunter: World,303,617,"Co-op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Singleplayer, Action RPG, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls-like, MMORPG, ",Intermediate,normal,402550,349359,53191,RPG,"Co-op, Action, Adventure",Third Person,,"Multiplayer, Singleplayer"
game,Peeping Dorm Manager,224,25,"Hentai, Sexual Content, Nudity, RPG, Puzzle, Crime, Mature, NSFW, Pixel Graphics, Point & Click, Clicker, Cute, Singleplayer, FMV, Female Protagonist, Anime, JRPG, Dating Sim, Simulation, Strategy, ",Beginner,low,40,39,1,"RPG, Simulation",Strategy,,,Singleplayer
game,Monster Hunter World: Iceborne,455,775,"Action, Multiplayer, Co-op, Open World, Hunting, Difficult, Third Person, Singleplayer, Adventure, Online Co-Op, RPG, Character Customization, Exploration, Dragons, Hack and Slash, Story Rich, JRPG, PvE, Souls-like, MMORPG, ",Intermediate,normal,20642,11748,8894,RPG,"Action, Co-op, Adventure",Third Person,,"Multiplayer, Singleplayer"
game,Granblue Fantasy Versus: Rising,1490,0,"Action, 2D Fighter, Action RPG, Singleplayer, Multiplayer, eSports, Fighting, Anime, Fantasy, Free to Play, ",Intermediate,low,798,624,174,,Action,,,"Singleplayer, Multiplayer"
bundle,Monster Hunter World: Iceborne Master Edition,607,1233,Action,Beginner,low,0,0,0,,Action,,,
game,Lethal Company,188,0,"Online Co-Op, Horror, First-Person, Psychological Horror, Exploration, Co-op, Survival Horror, PvE, Sci-fi, Procedural Generation, Atmospheric, Time Management, Aliens, Dungeon Crawler, Action, Adventure, Action-Adventure, Perma Death, Realistic, Early Access, ",Intermediate,low,176584,173707,2877,,"Co-op, Action, Adventure",,,
game,THE FINALS,0,0,"Multiplayer, Shooter, Destruction, FPS, PvP, First-Person, Team-Based, Free to Play, Action, Character Customization, Tactical, Capitalism, Choices Matter, Realistic, Class-Based, Combat, Loot, Gun Customization, Crafting, Battle Royale, ",Intermediate,high,59731,44972,14759,Battle Royale,Action,,,Multiplayer
game,Counter-Strike 2,0,0,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable, ",Intermediate,normal,7791544,6832864,958680,,"Action, Co-op, Strategy",,,Multiplayer
game,Conqueror's Blade,0,0,"PvP, Medieval, Massively Multiplayer, Action, Strategy, Sandbox, MMORPG, Alternate History, Character Customization, Free to Play, War, Wargame, RPG, Swordplay, Open World, RTS, Tactical, Third Person, Team-Based, Action RPG, ",Intermediate,normal,28964,20014,8950,"RPG, RTS","Action, Strategy",Third Person,,
game,DAVE THE DIVER,280,70,"Pixel Graphics, Casual, Adventure, RPG, Management, Relaxing, Simulation, Fishing, Exploration, Underwater, Farming Sim, Singleplayer, Crafting, 2D, Story Rich, Roguelite, Funny, Agriculture, Early Access, Action, ",Beginner,normal,79767,77849,1918,"RPG, Simulation","Adventure, Action",,2D,Singleplayer
game,Party Animals,293,126,"Casual, Funny, Multiplayer, Cute, Party Game, Action, Fighting, PvP, Co-op, Party, Family Friendly, Online Co-Op, Physics, 3D Fighter, 4 Player Local, Local Multiplayer, Indie, Team-Based, Local Co-Op, Action-Adventure, ",Intermediate,normal,34794,25330,9464,Party Game,"Action, Co-op",,,Multiplayer
