Type,Name,Price,PriceDiff,Tag,Request_Processor,Request_Memory,Comment_All,Comment_Positive,Comment_Negative,TagMode,TagStyle,TagPerson,TagDimension,TagNumPlayer
game,ヘブンバーンズレッド,0,0,"Drama, Visual Novel, Emotional, Turn-Based Tactics, CRPG, Female Protagonist, Choose Your Own Adventure, JRPG, Exploration, Party-Based RPG, RPG, 2D, Cute, 3D, Story Rich, Anime, Choices Matter, Adventure, Comedy, Free to Play, ",Beginner,normal,3296,2890,406,RPG,Adventure,,"2D, 3D",
game,God of War,595,595,"Action, Singleplayer, Story Rich, Adventure, Mythology, Third Person, Combat, RPG, Violent, Hack and Slash, Fantasy, Open World, Exploration, Atmospheric, Gore, Emotional, Action RPG, Souls-like, 3D, PvE, ",Intermediate,normal,114955,111311,3644,RPG,"Action, Adventure",Third Person,3D,Singleplayer
game,Street Fighter™ 6,1108,572,"2D Fighter, Fighting, Action, Character Customization, Arcade, Adventure, Multiplayer, Competitive, PvP, Open World, eSports, Singleplayer, Action RPG, Local Multiplayer, Controller, 3D, Sandbox, Great Soundtrack, Anime, 3D Fighter, ",Intermediate,normal,31554,27812,3742,,"Action, Adventure",,3D,"Multiplayer, Singleplayer"
game,House Flipper 2,581,65,"Simulation, Design & Illustration, Building, Casual, Relaxing, Destruction, Sandbox, Family Friendly, Education, Immersive Sim, 3D, First-Person, Indie, Management, Base Building, Singleplayer, Colorful, Replay Value, Economy, Realistic, ",Intermediate,normal,1279,1102,177,Simulation,,,3D,Singleplayer
game,MONSTER HUNTER RISE,448,672,"Action, RPG, Online Co-Op, Hunting, Multiplayer, Character Customization, Action RPG, Co-op, JRPG, Third Person, Singleplayer, PvE, Fantasy, Anime, 3D, Nature, Dragons, Atmospheric, Ninja, Story Rich, ",Intermediate,normal,83139,72005,11134,RPG,"Action, Co-op",Third Person,3D,"Multiplayer, Singleplayer"
game,Call of Duty®,1553,666,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First-Person, War, Modern, Tactical, Violent, Co-op, Realistic, Story Rich, Atmospheric, Mature, Online Co-Op, Gore, Third-Person Shooter, Third Person, ",Intermediate,normal,494153,287299,206854,,"Action, Co-op",Third Person,,"Multiplayer, Singleplayer"
game,Forza Horizon 5,844,844,"Racing, Open World, Driving, Multiplayer, Automobile Sim, Realistic, Adventure, Simulation, Exploration, Arcade, First-Person, Atmospheric, Sports, Co-op, PvP, Online Co-Op, Singleplayer, Beautiful, Action, Third Person, ",Intermediate,normal,152517,134368,18149,Simulation,"Adventure, Co-op, Action",Third Person,,"Multiplayer, Singleplayer"
game,Baldur's Gate 3,1599,0,"RPG, Choices Matter, Story Rich, Character Customization, Turn-Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co-Op, Multiplayer, Romance, Strategy, Singleplayer, Co-op Campaign, Class-Based, Dark Fantasy, Combat, Controller, Stealth, ",Intermediate,normal,499703,483347,16356,RPG,"Adventure, Strategy",,,"Multiplayer, Singleplayer"
bundle,Monster Hunter World: Iceborne Master Edition Digital Deluxe,762,1388,Action,Beginner,low,0,0,0,,Action,,,
game,Warframe,0,0,"Free to Play, Action RPG, Looter Shooter, Third-Person Shooter, Action, RPG, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, Singleplayer, PvE, Sci-fi, Lore-Rich, Space, Shooter, Hack and Slash, Ninja, Parkour, ",Advanced,low,558917,483711,75206,RPG,"Action, Co-op",Third Person,,Singleplayer
game,Resident Evil 4,840,840,"Action, Horror, Survival Horror, Third-Person Shooter, Zombies, Singleplayer, Survival, Story Rich, Dark, Cinematic, Realistic, Resource Management, Remake, Gore, 3D, Adventure, Psychological Horror, Third Person, Action-Adventure, Violent, ",Intermediate,normal,116032,113536,2496,,"Action, Survival, Adventure",Third Person,3D,Singleplayer
game,Apex Legends™,0,0,"Free to Play, Battle Royale, Multiplayer, Shooter, FPS, First-Person, PvP, Action, Team-Based, Hero Shooter, Tactical, Sci-fi, Survival, Character Customization, Loot, Funny, Co-op, Lore-Rich, Cyberpunk, Horror, ",Beginner,normal,769617,611081,158536,Battle Royale,"Action, Survival, Co-op",,,Multiplayer
game,NARAKA: BLADEPOINT,0,0,"Battle Royale, Multiplayer, Martial Arts, PvP, Action, Female Protagonist, Massively Multiplayer, Third Person, Survival, Character Customization, Fighting, Hack and Slash, Swordplay, Parkour, Anime, Adventure, Mature, Violent, Free to Play, Gore, ",Intermediate,low,231296,157114,74182,Battle Royale,"Action, Survival, Adventure",Third Person,,Multiplayer
game,FINAL FANTASY VII REMAKE INTERGRADE,995,995,"RPG, Action RPG, JRPG, Action-Adventure, Singleplayer, Party-Based RPG, Spectacle fighter, Third Person, Controller, Action, Adventure, 3D, Fantasy, 3D Platformer, Magic, Realistic, Cinematic, Drama, Story Rich, Sci-fi, ",Intermediate,normal,19181,17170,2011,RPG,"Action, Adventure",Third Person,3D,Singleplayer
game,Grand Theft Auto V,482,817,"Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First-Person, Shooter, Mature, Adventure, Singleplayer, Third-Person Shooter, Racing, Co-op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable, ",Beginner,low,1695692,1464591,231101,,"Action, Adventure, Co-op",Third Person,,"Multiplayer, Singleplayer"
bundle,Monster Hunter Rise + Sunbreak,925,925,Action,Beginner,low,0,0,0,,Action,,,
game,Ready or Not,846,0,"Tactical, Realistic, FPS, Multiplayer, Shooter, Co-op, Singleplayer, First-Person, Action, Horror, Violent, Gun Customization, Combat, Crime, Modern, Gore, Atmospheric, America, Co-op Campaign, Early Access, ",Intermediate,normal,133676,120629,13047,,"Co-op, Action",,,"Multiplayer, Singleplayer"
game,NieR:Automata™,476,714,"Great Soundtrack, Story Rich, Female Protagonist, Hack and Slash, Action, RPG, Open World, JRPG, Anime, Post-apocalyptic, Singleplayer, Robots, Atmospheric, Sci-fi, Nudity, Adventure, Bullet Hell, Spectacle fighter, Character Action Game, Violent, ",Beginner,low,121901,105002,16899,RPG,"Action, Adventure",,,Singleplayer
game,Rust,347,347,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Early Access, Post-apocalyptic, Simulation, ",Advanced,high,999502,870487,129015,Simulation,"Survival, Adventure, Action, Co-op",,,Multiplayer
bundle,Grand Theft Auto V: Premium Edition,482,817,"Action, Adventure",Beginner,low,0,0,0,,"Action, Adventure",,,
game,WITCH ON THE HOLY NIGHT,808,90,"Visual Novel, Adventure, Anime, 2D, Drama, Magic, Emotional, Female Protagonist, Choose Your Own Adventure, Singleplayer, Great Soundtrack, Story Rich, ",Beginner,normal,524,517,7,,Adventure,,2D,Singleplayer
game,ONE PIECE: PIRATE WARRIORS 4,178,1012,"Anime, Hack and Slash, Beat 'em up, Fighting, Pirates, Action, Split Screen, PvP, Arcade, Multiplayer, Co-op, Adventure, RPG, Musou, Local Co-Op, Comedy, Online Co-Op, Controller, Singleplayer, Open World, ",Intermediate,normal,16248,14948,1300,"Beat 'em up, RPG","Action, Co-op, Adventure",,,"Multiplayer, Singleplayer"
game,PUBG: BATTLEGROUNDS,0,0,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth, ",Intermediate,normal,2267454,1310421,957033,"Battle Royale, Simulation","Survival, Action, Co-op, Strategy",Third Person,,Multiplayer
game,Soulworker,0,0,"Anime, Free to Play, Sexual Content, Nudity, MMORPG, RPG, Action, Hack and Slash, Action RPG, Multiplayer, Character Action Game, Third Person, Co-op, Online Co-Op, Story Rich, Massively Multiplayer, 2.5D, Dark, Post-apocalyptic, PvE, ",Beginner,low,9914,7266,2648,RPG,"Action, Co-op",Third Person,2.5D,Multiplayer
game,Red Dead Redemption 2,590,1200,"Open World, Story Rich, Western, Adventure, Action, Multiplayer, Realistic, Singleplayer, Shooter, Atmospheric, Horses, Beautiful, Third-Person Shooter, Mature, Great Soundtrack, Third Person, Gore, Sandbox, First-Person, FPS, ",Advanced,high,500559,455873,44686,,"Adventure, Action",Third Person,,"Multiplayer, Singleplayer"
bundle,Dredging & Diving Bundle,758,341,"Adventure, RPG, Casual, Indie, Simulation",Beginner,low,0,0,0,"RPG, Simulation",Adventure,,,
game,Dead Frontier 2,0,0,"Free to Play, Multiplayer, Survival Horror, Zombies, Third-Person Shooter, Horror, MMORPG, Online Co-Op, Survival, PvE, Massively Multiplayer, Gore, Sandbox, Inventory Management, Trading, Violent, Atmospheric, Post-apocalyptic, Action, RPG, ",Beginner,normal,23585,16783,6802,RPG,"Survival, Action",,,Multiplayer
game,"Warhammer 40,000: Rogue Trader",746,0,"Isometric, Exploration, Combat, Space, Choose Your Own Adventure, Tactical RPG, Action RPG, Collectathon, Open World, Multiple Endings, Controller, Futuristic, Colorful, Female Protagonist, Tactical, RPG, Warhammer 40K, CRPG, Choices Matter, Character Customization, ",Intermediate,normal,5793,4593,1200,RPG,,,,
game,Tom Clancy's Rainbow Six® Siege,1910,636,"FPS, PvP, eSports, Multiplayer, Tactical, Shooter, Competitive, Online Co-Op, Action, Hero Shooter, Team-Based, Military, War, Strategy, Realistic, First-Person, Destruction, Co-op, Difficult, 3D, ",Beginner,normal,1207586,1036648,170938,,"Action, Strategy, Co-op",,3D,Multiplayer
game,Black Desert,20,180,"MMORPG, Massively Multiplayer, Open World, RPG, Character Customization, Adventure, Fantasy, Action, Strategy, 3D, Crafting, Medieval, Atmospheric, Simulation, Magic, Cooking, Multiplayer, PvP, War, Combat, ",Beginner,low,74889,56233,18656,"RPG, Simulation","Adventure, Action, Strategy",,3D,Multiplayer
game,Yu-Gi-Oh! Master Duel,0,0,"Card Game, Free to Play, Strategy, Trading Card Game, Multiplayer, PvP, Card Battler, Anime, Simulation, Turn-Based Tactics, Tactical, eSports, Singleplayer, Fantasy, Survival Horror, Dragons, PvE, 3D, 2D, Great Soundtrack, ",Intermediate,normal,67427,51232,16195,Simulation,Strategy,,"3D, 2D","Multiplayer, Singleplayer"
game,NieR Replicant™ ver.1.22474487139...,716,1074,"Great Soundtrack, Story Rich, Action, RPG, JRPG, Adventure, Singleplayer, Hack and Slash, Atmospheric, Post-apocalyptic, Anime, Bullet Hell, Cult Classic, Dark Fantasy, Nudity, Action RPG, Violent, Magic, Character Action Game, Dark Humor, ",Intermediate,normal,22070,19464,2606,RPG,"Action, Adventure",,,Singleplayer
game,Mount & Blade II: Bannerlord,839,560,"Medieval, Strategy, Open World, RPG, War, Sandbox, Multiplayer, Singleplayer, Action, Character Customization, Simulation, Moddable, Adventure, Horses, Realistic, Third Person, First-Person, Historical, Great Soundtrack, Early Access, ",Beginner,normal,233063,204924,28139,"RPG, Simulation","Strategy, Action, Adventure",Third Person,,"Multiplayer, Singleplayer"
game,OCTOPATH TRAVELER II,1253,537,"RPG, Turn-Based, JRPG, 2.5D, Party-Based RPG, Open World, Story Rich, Choices Matter, Turn-Based Combat, Cute, Strategy, Anime, Fantasy, Pixel Graphics, Casual, Magic, Atmospheric, Adventure, Emotional, Singleplayer, ",Beginner,normal,8997,8647,350,RPG,"Strategy, Adventure",,2.5D,Singleplayer
game,War Thunder,0,0,"Free to Play, Vehicular Combat, Combat, World War II, VR, Flight, War, Military, Tanks, Naval Combat, Simulation, Modern, Cold War, Massively Multiplayer, Action, Realistic, Shooter, Third-Person Shooter, Third Person, Historical, ",Beginner,low,577083,350685,226398,Simulation,Action,Third Person,,
game,Dead by Daylight,379,0,"Horror, Survival Horror, Multiplayer, Online Co-Op, Co-op, Survival, Gore, Team-Based, Stealth, Blood, Third Person, Violent, First-Person, Psychological Horror, Action, Atmospheric, Strategy, Comedy, Mature, Difficult, ",Beginner,normal,702645,564636,138009,,"Co-op, Survival, Action, Strategy",Third Person,,Multiplayer
game,Hero's Land,0,0,"Survival, PvP, Free to Play, Open World, MOBA, MMORPG, Exploration, CRPG, 2D Platformer, Tactical RPG, Roguelite, Action RPG, Action-Adventure, Fishing, RPG, Top-Down, Cute, Action, Stylized, Building, ",Beginner,low,22659,12410,10249,RPG,"Survival, Action",,,
game,NBA 2K24,1790,0,"Sports, Simulation, Basketball, eSports, 3D, Immersive Sim, Realistic, Management, PvP, Character Customization, Controller, Team-Based, Trading, Co-op, Local Co-Op, Local Multiplayer, Multiplayer, Online Co-Op, Singleplayer, Gambling, ",Beginner,normal,14236,2415,11821,Simulation,Co-op,,3D,"Multiplayer, Singleplayer"
game,theHunter: Call of the Wild™,48,270,"Hunting, Open World, Multiplayer, Simulation, First-Person, Shooter, Survival, Realistic, Co-op, Adventure, FPS, Action, Singleplayer, Walking Simulator, Online Co-Op, Atmospheric, Sports, Combat, Strategy, Gore, ",Beginner,low,145728,128478,17250,Simulation,"Survival, Co-op, Adventure, Action, Strategy",,,"Multiplayer, Singleplayer"
game,CRISIS CORE –FINAL FANTASY VII– REUNION,894,596,"Action, RPG, Adventure, JRPG, Action RPG, Action-Adventure, Party-Based RPG, 3D Platformer, Spectacle fighter, 3D, Cinematic, Third Person, Realistic, Drama, Fantasy, Magic, Sci-fi, Story Rich, Controller, Singleplayer, ",Beginner,normal,5057,4613,444,RPG,"Action, Adventure",Third Person,3D,Singleplayer
bundle,"Warhammer 40,000: Rogue Trader - Voidfarer Edition",1570,0,"Adventure, Indie, RPG, Strategy",Beginner,low,0,0,0,RPG,"Adventure, Strategy",,,
game,FINAL FANTASY XV WINDOWS EDITION,596,894,"RPG, Open World, JRPG, Fantasy, Story Rich, Great Soundtrack, Singleplayer, Adventure, Action, Multiplayer, Action RPG, Third Person, Anime, Hack and Slash, Atmospheric, Online Co-Op, Co-op, Violent, First-Person, Nudity, ",Intermediate,normal,47374,39245,8129,RPG,"Adventure, Action, Co-op",Third Person,,"Singleplayer, Multiplayer"
game,Shadowverse CCG,0,0,"Free to Play, Card Battler, Trading Card Game, Deckbuilding, Anime, Card Game, Strategy, Sexual Content, Multiplayer, Fantasy, Nudity, Turn-Based, PvP, Singleplayer, Competitive, Cute, Casual, RPG, Adventure, JRPG, ",Beginner,normal,14224,10588,3636,RPG,"Strategy, Adventure",,,"Multiplayer, Singleplayer"
bundle,DAVE THE DIVER Deluxe Edition,367,143,"Adventure, Casual, Indie, RPG, Simulation",Beginner,low,0,0,0,"RPG, Simulation",Adventure,,,
game,Cyberpunk 2077,1599,0,"Cyberpunk, Open World, Nudity, RPG, Singleplayer, Sci-fi, Futuristic, FPS, Mature, Story Rich, First-Person, Atmospheric, Exploration, Action, Violent, Great Soundtrack, Action RPG, Adventure, Character Customization, Immersive Sim, ",Advanced,high,691841,558335,133506,RPG,"Action, Adventure",,,Singleplayer
game,Forza Horizon 4,283,575,"Racing, Open World, Driving, Multiplayer, Automobile Sim, Online Co-Op, Realistic, Singleplayer, Controller, Adventure, Arcade, PvP, Simulation, Exploration, Action, Sports, Atmospheric, Great Soundtrack, First-Person, Funny, ",Intermediate,normal,202711,181248,21463,Simulation,"Adventure, Action",,,"Multiplayer, Singleplayer"
game,"Warhammer 40,000: Darktide",747,402,"Warhammer 40K, Gore, Online Co-Op, Adventure, PvE, Multiplayer, FPS, Shooter, Survival Horror, Hack and Slash, First-Person, Character Customization, Co-op, Action, Violent, Atmospheric, Sci-fi, Dark Fantasy, Looter Shooter, Horror, ",Intermediate,normal,87575,57421,30154,,"Adventure, Co-op, Action",,,Multiplayer
game,Destiny 2,0,0,"Free to Play, Open World, FPS, Looter Shooter, MMORPG, Co-op, PvE, PvP, Multiplayer, Shooter, Massively Multiplayer, Loot, First-Person, Sci-fi, Action, Lore-Rich, Adventure, Space, Competitive, Atmospheric, ",Beginner,normal,576708,465684,111024,,"Co-op, Action, Adventure",,,Multiplayer
game,STRANGER OF PARADISE FINAL FANTASY ORIGIN,714,476,"Action, Adventure, RPG, Action RPG, JRPG, Spectacle fighter, 3D, Third Person, Atmospheric, Dark Fantasy, Dark, Fantasy, PvP, Multiplayer, Singleplayer, Souls-like, Online Co-Op, Story Rich, Violent, Character Customization, ",Advanced,normal,2178,1871,307,RPG,"Action, Adventure",Third Person,3D,"Multiplayer, Singleplayer"
game,GrandChase,0,0,"Action, PvE, PvP, Action RPG, Free to Play, Casual, Online Co-Op, Hack and Slash, Character Customization, 2D Fighter, Story Rich, Multiplayer, Controller, Beat 'em up, Anime, 2.5D, Fantasy, Cute, 3D Fighter, Massively Multiplayer, ",Beginner,low,21465,12684,8781,Beat 'em up,Action,,2.5D,Multiplayer
game,Like a Dragon: Infinite Wealth,1890,0,"Action, Adventure, JRPG, Action RPG, Action-Adventure, Gore, Beat 'em up, Violent, Comedy, Emotional, Turn-Based Combat, Singleplayer, Funny, Colorful, Hack and Slash, Martial Arts, Sexual Content, Turn-Based, Story Rich, Great Soundtrack, ",Intermediate,normal,0,0,0,Beat 'em up,"Action, Adventure",,,Singleplayer
game,For The King II,583,65,"Adventure, RPG, Strategy, Party-Based RPG, Board Game, Roguelike, Roguelite, Turn-Based Strategy, Tabletop, Turn-Based Combat, Fantasy, Multiplayer, Co-op, Online Co-Op, Hex Grid, Local Co-Op, Local Multiplayer, Open World, Singleplayer, PvP, ",Intermediate,normal,8597,6044,2553,"RPG, Board Game, Roguelike","Adventure, Strategy, Co-op",,,"Multiplayer, Singleplayer"
game,Against the Storm,454,245,"Strategy, Simulation, Base Building, City Builder, Management, Building, Grand Strategy, Sandbox, Resource Management, Colony Sim, Survival, Open World, Moddable, RTS, Singleplayer, Real-Time with Pause, 4X, Historical, Replay Value, Economy, ",Beginner,low,17399,16630,769,"Simulation, RTS","Strategy, Survival",,,Singleplayer
game,Monster Hunter Rise: Sunbreak,672,448,"Action, Multiplayer, Co-op, RPG, Character Customization, Hunting, Action RPG, JRPG, Singleplayer, Online Co-Op, Open World, ",Intermediate,normal,5527,3500,2027,RPG,"Action, Co-op",,,"Multiplayer, Singleplayer"
game,DREDGE,562,187,"Exploration, Fishing, Lovecraftian, Adventure, Mystery, Open World, Inventory Management, RPG, Simulation, Atmospheric, Psychological Horror, Stylized, Horror, Singleplayer, Survival Horror, Psychological, 3D, Story Rich, Sailing, Action RPG, ",Beginner,low,25077,24148,929,"RPG, Simulation",Adventure,,3D,Singleplayer
game,Planet Zoo,244,731,"Management, Simulation, Building, Sandbox, Nature, City Builder, Economy, Realistic, Singleplayer, Family Friendly, Cute, Resource Management, Strategy, Great Soundtrack, Multiplayer, Relaxing, Open World, Casual, Funny, Horses, ",Intermediate,normal,74512,67667,6845,Simulation,Strategy,,,"Singleplayer, Multiplayer"
bundle,Party Animals Deluxe Edition,446,192,"Action, Casual, Indie",Beginner,low,0,0,0,,Action,,,
game,Otome Riron to Sono Shuuhen -École de Paris-,366,122,"Casual, Adventure, Interactive Fiction, Dating Sim, Visual Novel, 2D Platformer, Cartoony, Drama, Comedy, Story Rich, Multiple Endings, Singleplayer, ",Beginner,low,115,115,0,,Adventure,,,Singleplayer
game,Age of Empires II: Definitive Edition,679,0,"Strategy, RTS, City Builder, Multiplayer, Base Building, Historical, Singleplayer, Medieval, Resource Management, Classic, Tactical, Real-Time, Co-op, Remake, Isometric, Replay Value, 2D, Action, Adventure, Great Soundtrack, ",Beginner,low,135484,128496,6988,RTS,"Strategy, Co-op, Action, Adventure",,2D,"Multiplayer, Singleplayer"
game,World of Warships,0,0,"Naval Combat, Free to Play, Naval, World War II, Massively Multiplayer, Action, Multiplayer, Tactical, PvP, Historical, Military, Online Co-Op, Team-Based, Realistic, Shooter, Simulation, PvE, Third-Person Shooter, War, Co-op, ",Beginner,normal,132921,102405,30516,Simulation,"Action, Co-op",,,Multiplayer
game,Sword Art Online: Integral Factor,0,0,"RPG, Action, Adventure, MMORPG, Anime, Massively Multiplayer, Action RPG, 3D, Sci-fi, Multiplayer, Futuristic, PvE, Singleplayer, PvP, Free to Play, Online Co-Op, JRPG, Character Customization, ",Intermediate,normal,1207,745,462,RPG,"Action, Adventure",,3D,"Multiplayer, Singleplayer"
game,TRIANGLE STRATEGY,895,895,"Turn-Based Tactics, Strategy RPG, RPG, Strategy, JRPG, Politics, War, Pixel Graphics, Simulation, 2D, Tabletop, Grid-Based Movement, Tactical, Singleplayer, Cats, Story Rich, Turn-Based Combat, Choices Matter, Tactical RPG, Visual Novel, ",Beginner,low,1990,1602,388,"RPG, Simulation",Strategy,,2D,Singleplayer
bundle,Complete Flipping Experience,940,114,"Indie, Simulation, Casual",Beginner,low,0,0,0,Simulation,,,,
game,Pioneers of Pagonia,414,74,"Base Building, City Builder, Colony Sim, Economy, Building, Medieval, Exploration, Sandbox, Strategy, Management, Trading, 3D, Procedural Generation, Early Access, Simulation, Stylized, Fantasy, Singleplayer, Indie, Resource Management, ",Beginner,normal,1013,911,102,Simulation,Strategy,,3D,Singleplayer
bundle,Cities: Skylines - New Player Bundle,1675,0,"Simulation, Strategy",Beginner,low,0,0,0,Simulation,Strategy,,,
game,SCUM,372,373,"Survival, Open World Survival Craft, Multiplayer, Open World, Zombies, Nudity, Massively Multiplayer, Action, Adventure, Realistic, Early Access, Crafting, Singleplayer, FPS, Violent, Gore, PvP, Third Person, Indie, RPG, ",Intermediate,high,96556,71937,24619,RPG,"Survival, Action, Adventure",Third Person,,"Multiplayer, Singleplayer"
bundle,theHunter: Call of the Wild™ - Master Hunter Bundle,285,1203,"Adventure, Simulation, Sports",Beginner,low,0,0,0,Simulation,Adventure,,,
game,Wartales,554,185,"RPG, Open World, Turn-Based Strategy, Party-Based RPG, Medieval, Co-op, Adventure, Strategy, Singleplayer, Multiplayer, Turn-Based Combat, Tactical RPG, Exploration, Survival, Sandbox, Turn-Based, Story Rich, Online Co-Op, Violent, Indie, ",Intermediate,normal,22007,20129,1878,RPG,"Co-op, Adventure, Strategy, Survival",,,"Singleplayer, Multiplayer"
game,Return from Core,244,44,"Crafting, Early Access, Sandbox, Automation, Base Building, Adventure, Survival, Dungeon Crawler, Building, Exploration, Mining, Simulation, RPG, Farming Sim, Action RPG, Combat, Action-Adventure, Economy, Anime, Cartoony, ",Beginner,low,27,26,1,"Simulation, RPG","Adventure, Survival",,,
game,RiichiCity - ACG mahjong games,0,0,"Casual, Thriller, Sexual Content, Psychological Horror, Anime, Horror, Card Game, Strategy, Sports, Souls-like, Modern, RTS, Cute, JRPG, Card Battler, Funny, 2.5D, Real Time Tactics, Drama, Turn-Based Strategy, ",Beginner,low,1400,767,633,RTS,Strategy,,2.5D,
game,Cyberpunk 2077: Phantom Liberty,799,0,"RPG, Sexual Content, Cyberpunk, Open World, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First-Person, FPS, Action, Action RPG, Character Customization, Choices Matter, Shooter, Horror, Stealth, Great Soundtrack, ",Advanced,high,12231,10970,1261,RPG,Action,,,Singleplayer
game,Dota 2,0,0,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, Tower Defense, RPG, Fantasy, Character Customization, Replay Value, Action RPG, Simulation, ",Beginner,low,2133777,1752027,381750,"RTS, RPG, Simulation","Strategy, Action, Co-op",,,Multiplayer
game,Hunt: Showdown,385,714,"Open World, Extraction Shooter, Atmospheric, Tactical, Multiplayer, FPS, Perma Death, Shooter, PvP, Survival Horror, Horror, Western, Online Co-Op, Difficult, Co-op, Battle Royale, Team-Based, Action, Gore, Zombies, ",Intermediate,normal,187396,154229,33167,Battle Royale,"Co-op, Action",,,Multiplayer
bundle,Shiravune Dark Dreamers Bundle 2,1859,0,"Adventure, Simulation",Beginner,low,0,0,0,Simulation,Adventure,,,
game,Eternal Return,0,0,"Free to Play, Anime, Multiplayer, MOBA, Survival, PvP, Combat, Top-Down, Crafting, Action, 3D, Strategy, Tactical, Character Customization, Indie, Point & Click, Experimental, Early Access, Sexual Content, MMORPG, ",Beginner,normal,53435,42209,11226,,"Survival, Action, Strategy",,3D,Multiplayer
game,Monster Hunter World: Iceborne Deluxe Kit,299,161,"Action, ",Intermediate,normal,224,183,41,,Action,,,
